precip_type,total,total_accumulation,total_trace,ice,ice_accretion,ice_trace,note,narrative,id,city,state,zipcode,start,end,location_id
Snow,6.1,6.1,,N/A,0,,,"Coastal System Brings Widespread Snowfall December 9 - 10th. A steady snow entered the area between 8:00 and 10:00 AM on December 9th, quickly becoming moderate to heavy at times during the afternoon, with snowfall rates reaching 0.5 - 1.0"" per hour. The snow lightened up a bit after sunset, but continued to fall steadily through the evening hours. Most of the snow tapered off between 1:00 and 3:00 AM December 10th, but a few flurries lingered through sunrise. Temperatures began in the mid 30s, but fell to 30 - 32 degrees for most of the snowfall.",27698,Boston,MA,02111,2017-12-09T08:00:00,2017-12-10T06:00:00,38884
Snow,6.0,6.0,,N/A,0,,,"Coastal System Brings Widespread Snowfall December 9 - 10th. A steady snow entered the area between 10:00 AM and 12:00 PM onDecember 9th, quickly becoming moderate at times during the afternoon, with snowfall rates reaching 0.5 - 1.0"" per hour. The snow lightened up a bit after sunset, but continued to fall steadily through the evening hours. Most of the snow tapered off between 1:00 and 3:00 AM December 10th, but a few flurries lingered through sunrise. Temperatures ranged from 26 - 30 degrees throughout the event.",27698,Springfield,MA,01103,2017-12-09T08:00:00,2017-12-10T06:00:00,38791
Snow,7.0,7.0,,N/A,0,,,"Coastal System Brings Widespread Snowfall December 9 - 10th. A steady snow entered the area between 8:00 and 10:00 AM on December 9th, quickly becoming moderate to heavy at times during the afternoon, with snowfall rates reaching 0.5 - 1.0"" per hour. The snow lightened up a bit after sunset, but continued to fall steadily through the evening hours. Most of the snow tapered off between 1:00 and 3:00 AM December 10th, but a few flurries lingered through sunrise. Temperatures ranged from 27 - 31 degrees throughout the event.",27698,Worcester,MA,01608,2017-12-09T08:00:00,2017-12-10T06:00:00,38841
Snow,6.4,6.4,,N/A,0,,,"Coastal System Brings Widespread Snowfall December 9 - 10th. A steady snow entered the area between 8:00 and 10:00 AM on December 9th, quickly becoming moderate to heavy at times during the afternoon, with snowfall rates reaching 0.5 - 1.0"" per hour. The snow lightened up a bit after sunset, but continued to fall steadily through the evening hours. Most of the snow tapered off between 1:00 and 3:00 AM December 10th, but a few flurries lingered through sunrise. Temperatures ranged from 29 - 32 degrees throughout the event.",27698,Lowell,MA,01851,2017-12-09T08:00:00,2017-12-10T06:00:00,38859
Wintry Mix,Scattered Coating,0.0,Scattered Coating,N/A,0,,,"Coastal System Brings Brief Period of Wintry Mix. A mix of rain, sleet, and wet snow fell between 7:00 AM and 1:00 PM December 9th, with temperatures ranging from 34 - 36 degrees. As warmer air moved into the area, precipitation changed to all rain by the afternoon.",27698,Barnstable Town,MA,02601,2017-12-09T08:00:00,2017-12-10T06:00:00,38988
Snow,Scattered Coating,0.0,Scattered Coating,N/A,0,,,Light Snow Flurries December 14th. A few flurries and snow showers moved through the area between 4:00 and 8:00 AM December 14th. Temperatures ranged from 20 - 24.,27804,Boston,MA,02111,2017-12-14T01:00:00,2017-12-14T13:00:00,38884
Snow,0.5,0.5,,N/A,0,,,Clipper System Brings Light Snowfall December 14th. A brief period of light snow moved through the area between 2:00 and 8:00 AM December 14th. Temperatures ranged from 17 - 21 degrees.,27804,Springfield,MA,01103,2017-12-14T01:00:00,2017-12-14T13:00:00,38791
Snow,0.1,0.1,,N/A,0,,,Clipper System Brings Light Snowfall December 14th. A brief period of light snow moved through the area between 3:00 and 8:00 AM December 14th. Temperatures ranged from 14 - 19 degrees.,27804,Worcester,MA,01608,2017-12-14T01:00:00,2017-12-14T13:00:00,38841
Snow,2.4,2.4,,N/A,0,,,Clipper System Brings Light Snowfall December 14th. Snow entered the area between 3:00 and 5:00 AM December 14th. The snow became moderate at times before ending 10:00 AM to 12:00 PM that same day. Temperatures ranged from 23 - 27 degrees.,27804,Barnstable Town,MA,02601,2017-12-14T01:00:00,2017-12-14T13:00:00,38988
Snow,Widely Scattered Coating,0.0,Widely Scattered Coating,N/A,0,,,"Weak System Brings Light Snow December 18th. After a few pre-dawn flurries, a few light snow showers moved through the area between 12:00 and 3:00 PM December 18th with temperatures ranging from 30 - 32. Most of the precipitation tapered off during the afternoon, with just a few lingering flurries or sprinkles in spots. Temperatures warmed above freezing during the late afternoon and evening, changing any leftover precipitation to plain rain.",27876,Boston,MA,02111,2017-12-18T09:00:00,2017-12-19T00:00:00,38884
Wintry Mix,0.2,0.2,,Coating,0,Coating,,"Weak System Brings Light Snow/Wintry Mix December 18th. After a few pre-dawn flurries, a period of light snow moved through the area between 11:00 AM and 3:00 PM December 18th with temperatures in the upper 20s. Most of the precipitation tapered off during the late afternoon, with just a few lingering flurries or sprinkles in spots. Another round of light freezing rain and sleet pushed into the area between 8:00 PM that evening and 12:00 AM December 19th with temperatures right near 32 degrees, leading to some icy areas. Temperatures warmed above freezing after the precipitation ended.",27876,Lowell,MA,01851,2017-12-18T09:00:00,2017-12-19T00:00:00,38859
Snow,Scattered Coating,0.0,Scattered Coating,N/A,0,,,Flurries and Brief Snow Shower December 15th. A few flurries and a brief snow shower moved through the area between 8:00 PM December 15th and 12:00 AM December 16th. Temperatures ranged from 23 - 27 degrees.,27834,Boston,MA,02111,2017-12-15T17:00:00,2017-12-16T03:00:00,38884
Snow,0.4,0.4,,N/A,0,,,Brief Period of Light Snow December 15th. A period of light snow moved through the area between 6:00 and 11:00 PM December 15th. Temperatures ranged from 20 - 24 degrees.,27834,Springfield,MA,01103,2017-12-15T17:00:00,2017-12-16T03:00:00,38791
Snow,0.2,0.2,,N/A,0,,,Brief Period of Light Snow December 15th. A period of light snow moved through the area between 6:00 and 11:00 PM December 15th. Temperatures ranged from 20 - 24 degrees.,27834,Worcester,MA,01608,2017-12-15T17:00:00,2017-12-16T03:00:00,38841
Snow,2.0,2.0,,N/A,0,,,"Coastal Storm Brings Snow December 15th. Light snow entered the area between 5:00 and 7:00 December 15th. The snow quickly became moderate at times through the evening, before tapering off between 1:00 and 3:00 AM December 16th. Temperatures were steady between 28 - 32 for most of the event, before falling into the 20s after the snow ended.",27834,Barnstable Town,MA,02601,2017-12-15T17:00:00,2017-12-16T03:00:00,38988
Wintry Mix,0.2,0.2,,Coating,0,Coating,,"Snow Changes to Wintry Mix December 22nd. Intermittent periods of light snow entered the area between 1:00 and 3:00 PM December 22nd with temperatures in the upper 20s. The snow began to mix with rain and freezing rain between 6:00 and 8:00 PM that evening as temperatures climbed into the mid 30s. A cold north wind brought sub-freezing temperatures back into the area by 10:00 - 11:00 PM, changing any precipitation to freezing rain and causing any wet surface to quickly freeze up. The freezing rain and drizzle tapered off by 12:00 - 2:00 AM December 23rd with temperatures in the mid to upper 20s. Note: The freezing rain and ice that occurred later on December 23rd will be covered in another report.",27988,Boston,MA,02111,2017-12-22T02:00:00,2017-12-22T23:00:00,38884
Wintry Mix,0.3,0.3,,Patchy,0,Patchy,,"Wintry Mix December 22nd. Light snow entered the area between 1:00 and 3:00 PM December 22nd. The snow mixed with a bit of sleet and freezing rain during the evening, before ending 8:00 to 10:00 PM. Temperatures were steady in the mid 20s throughout the event. . Note: The freezing rain and ice that occurred on December 23rd will be covered in another report.",27988,Springfield,MA,01103,2017-12-22T02:00:00,2017-12-22T23:00:00,38791
Wintry Mix,0.7,0.7,,Coating,0,Coating,,"Snow Changes to Wintry Mix December 22nd. After a few morning flurries, periods of mainly light snow moved into the area between 1:00 and 3:00 PM December 22nd. The snow continued off and on through 6:00 to 8:00 PM that evening, before mixing with and changing to sleet and freezing rain. The freezing rain tapered off between 10:00 PM that evening and 12:00 AM December 23rd. Temperatures were steady in the low to mid 20s throughout the event. . Note: The freezing rain and ice that occurred later on December 23rd will be covered in another report.",27988,Worcester,MA,01608,2017-12-22T02:00:00,2017-12-22T23:00:00,38841
